     Process Id   Arrival Time     Burst Time      Comp Time  Turnaround Time   Waiting Time  Response Time
              0             42              3            117             75             72             72
              1             35              1             89             54             53             53
              2             70              5            281            211            206            206
              3             79              4            217            138            134            134
              4             63              5            266            203            198            198
              5              6              1             12              6              5              5
              6             82              3            181             99             96             96
              7             62              2            152             90             88             88
              8             96              3            190             94             91             91
              9             28              2             71             43             41             41
             10             92              5            311            219            214            214
             11              3              4             29             26             22             22
             12             93              3            187             94             91             91
             13             22              2             59             37             35             35
             14             19              1             49             30             29             29
             15             48              2            133             85             83             83
             16             72              4            209            137            133            133
             17             70              3            178            108            105            105
             18             68              5            271            203            198            198
             19             36              5            130             94             89             89
             20              4              2             10              6              4              4
             21             23              4             87             64             60             60
             22             74              5            291            217            212            212
             23             42              2            114             72             70             70
             24             54              4            197            143            139            139
             25             48              5            246            198            193            193
             26             63              3            175            112            109            109
             27             38              5            226            188            183            183
             28             24              2             63             39             37             37
             29             30              4            101             71             67             67
             30             17              1             43             26             25             25
             31             91              3            184             93             90             90
             32             89              2            166             77             75             75
             33             41              3            112             71             68             68
             34             65              4            205            140            136            136
             35             47              1            131             84             83             83
             36             91              5            306            215            210            210
             37             71              1            154             83             82             82
             38              7              2             15              8              6              6
             39             94              4            221            127            123            123
             40             30              4            105             75             71             71
             41             85              5            301            216            211            211
             42             57              1            142             85             84             84
             43             67              2            159             92             90             90
             44             32              4            109             77             73             73
             45             45              5            236            191            186            186
             46             27              4             93             66             62             62
             47             38              4            121             83             79             79
             48             19              3             52             33             30             30
             49             30              2             76             46             44             44
             50             34              1             88             54             53             53
             51             40              4            125             85             81             81
             52              5              1             11              6              5              5
             53             78              2            164             86             84             84
             54             74              2            161             87             85             85
             55             22              1             57             35             34             34
             56             25              3             66             41             38             38
             57             71              5            286            215            210            210
             58             78              4            213            135            131            131
             59             98              3            193             95             92             92
             60             87              1            162             75             74             74
             61             62              2            156             94             92             92
             62             56              3            141             85             82             82
             63             56              5            261            205            200            200
             64             32              3             83             51             48             48
             65             51              1            138             87             86             86
             66             42              5            231            189            184            184
             67             67              1            153             86             85             85
             68              8              2             17              9              7              7
             69              8              3             22             14             11             11
             70             58              3            145             87             84             84
             71             54              4            201            147            143            143
             72             46              5            241            195            190            190
             73             10              4             33             23             19             19
             74             22              4             80             58             54             54
             75             23              2             61             38             36             36
             76              7              1             13              6              5              5
             77             14              4             37             23             19             19
             78              1              2              3              2              0              0
             79             63              1            150             87             86             86
             80             11              5             42             31             26             26
             81             25              3             69             44             41             41
             82             49              4            137             88             84             84
             83             96              2            170             74             72             72
             84              3              1              8              5              4              4
             85             92              2            168             76             74             74
             86             75              1            157             82             81             81
             87             97              2            172             75             73             73
             88             49              5            251            202            197            197
             89             69              5            276            207            202            202
             90             82              5            296            214            209            209
             91             54              5            256            202            197            197
             92             19              4             56             37             33             33
             93              1              4              7              6              2              2
             94             28              3             74             46             43             43
             95             29              4             97             68             64             64
             96             49              4            149            100             96             96
             97              8              2             19             11              9              9
             98             11              3             25             14             11             11
             99             14              5             48             34             29             29
