    Millisecond     Process Id         Status
              1             78        arrived
              2             78        running
              3             78           exit
              3             93        arrived
              4             93        running
              5             93        running
              6             93        running
              7             93           exit
              7             84        arrived
              8             84           exit
              8             20        arrived
              9             20        running
             10             20           exit
             10             52        arrived
             11             52           exit
             11              5        arrived
             12              5           exit
             12             76        arrived
             13             76           exit
             13             38        arrived
             14             38        running
             15             38           exit
             15             68        arrived
             16             68        running
             17             68           exit
             17             97        arrived
             18             97        running
             19             97           exit
             19             69        arrived
             20             69        running
             21             69        running
             22             69           exit
             22             98        arrived
             23             98        running
             24             98        running
             25             98           exit
             25             11        arrived
             26             11        running
             27             11        running
             28             11        running
             29             11           exit
             29             73        arrived
             30             73        running
             31             73        running
             32             73        running
             33             73           exit
             33             77        arrived
             34             77        running
             35             77        running
             36             77        running
             37             77           exit
             37             80        arrived
             38             80        running
             39             80        running
             40             80        running
             41             80        running
             42             80           exit
             42             30        arrived
             43             30           exit
             43             99        arrived
             44             99        running
             45             99        running
             46             99        running
             47             99        running
             48             99           exit
             48             14        arrived
             49             14           exit
             49             48        arrived
             50             48        running
             51             48        running
             52             48           exit
             52             92        arrived
             53             92        running
             54             92        running
             55             92        running
             56             92           exit
             56             55        arrived
             57             55           exit
             57             13        arrived
             58             13        running
             59             13           exit
             59             75        arrived
             60             75        running
             61             75           exit
             61             28        arrived
             62             28        running
             63             28           exit
             63             56        arrived
             64             56        running
             65             56        running
             66             56           exit
             66             81        arrived
             67             81        running
             68             81        running
             69             81           exit
             69              9        arrived
             70              9        running
             71              9           exit
             71             94        arrived
             72             94        running
             73             94        running
             74             94           exit
             74             49        arrived
             75             49        running
             76             49           exit
             76             74        arrived
             77             74        running
             78             74        running
             79             74        running
             80             74           exit
             80             64        arrived
             81             64        running
             82             64        running
             83             64           exit
             83             21        arrived
             84             21        running
             85             21        running
             86             21        running
             87             21           exit
             87             50        arrived
             88             50           exit
             88              1        arrived
             89              1           exit
             89             46        arrived
             90             46        running
             91             46        running
             92             46        running
             93             46           exit
             93             95        arrived
             94             95        running
             95             95        running
             96             95        running
             97             95           exit
             97             29        arrived
             98             29        running
             99             29        running
            100             29        running
            101             29           exit
            101             40        arrived
            102             40        running
            103             40        running
            104             40        running
            105             40           exit
            105             44        arrived
            106             44        running
            107             44        running
            108             44        running
            109             44           exit
            109             33        arrived
            110             33        running
            111             33        running
            112             33           exit
            112             23        arrived
            113             23        running
            114             23           exit
            114              0        arrived
            115              0        running
            116              0        running
            117              0           exit
            117             47        arrived
            118             47        running
            119             47        running
            120             47        running
            121             47           exit
            121             51        arrived
            122             51        running
            123             51        running
            124             51        running
            125             51           exit
            125             19        arrived
            126             19        running
            127             19        running
            128             19        running
            129             19        running
            130             19           exit
            130             35        arrived
            131             35           exit
            131             15        arrived
            132             15        running
            133             15           exit
            133             82        arrived
            134             82        running
            135             82        running
            136             82        running
            137             82           exit
            137             65        arrived
            138             65           exit
            138             62        arrived
            139             62        running
            140             62        running
            141             62           exit
            141             42        arrived
            142             42           exit
            142             70        arrived
            143             70        running
            144             70        running
            145             70           exit
            145             96        arrived
            146             96        running
            147             96        running
            148             96        running
            149             96           exit
            149             79        arrived
            150             79           exit
            150              7        arrived
            151              7        running
            152              7           exit
            152             67        arrived
            153             67           exit
            153             37        arrived
            154             37           exit
            154             61        arrived
            155             61        running
            156             61           exit
            156             86        arrived
            157             86           exit
            157             43        arrived
            158             43        running
            159             43           exit
            159             54        arrived
            160             54        running
            161             54           exit
            161             60        arrived
            162             60           exit
            162             53        arrived
            163             53        running
            164             53           exit
            164             32        arrived
            165             32        running
            166             32           exit
            166             85        arrived
            167             85        running
            168             85           exit
            168             83        arrived
            169             83        running
            170             83           exit
            170             87        arrived
            171             87        running
            172             87           exit
            172             26        arrived
            173             26        running
            174             26        running
            175             26           exit
            175             17        arrived
            176             17        running
            177             17        running
            178             17           exit
            178              6        arrived
            179              6        running
            180              6        running
            181              6           exit
            181             31        arrived
            182             31        running
            183             31        running
            184             31           exit
            184             12        arrived
            185             12        running
            186             12        running
            187             12           exit
            187              8        arrived
            188              8        running
            189              8        running
            190              8           exit
            190             59        arrived
            191             59        running
            192             59        running
            193             59           exit
            193             24        arrived
            194             24        running
            195             24        running
            196             24        running
            197             24           exit
            197             71        arrived
            198             71        running
            199             71        running
            200             71        running
            201             71           exit
            201             34        arrived
            202             34        running
            203             34        running
            204             34        running
            205             34           exit
            205             16        arrived
            206             16        running
            207             16        running
            208             16        running
            209             16           exit
            209             58        arrived
            210             58        running
            211             58        running
            212             58        running
            213             58           exit
            213              3        arrived
            214              3        running
            215              3        running
            216              3        running
            217              3           exit
            217             39        arrived
            218             39        running
            219             39        running
            220             39        running
            221             39           exit
            221             27        arrived
            222             27        running
            223             27        running
            224             27        running
            225             27        running
            226             27           exit
            226             66        arrived
            227             66        running
            228             66        running
            229             66        running
            230             66        running
            231             66           exit
            231             45        arrived
            232             45        running
            233             45        running
            234             45        running
            235             45        running
            236             45           exit
            236             72        arrived
            237             72        running
            238             72        running
            239             72        running
            240             72        running
            241             72           exit
            241             25        arrived
            242             25        running
            243             25        running
            244             25        running
            245             25        running
            246             25           exit
            246             88        arrived
            247             88        running
            248             88        running
            249             88        running
            250             88        running
            251             88           exit
            251             91        arrived
            252             91        running
            253             91        running
            254             91        running
            255             91        running
            256             91           exit
            256             63        arrived
            257             63        running
            258             63        running
            259             63        running
            260             63        running
            261             63           exit
            261              4        arrived
            262              4        running
            263              4        running
            264              4        running
            265              4        running
            266              4           exit
            266             18        arrived
            267             18        running
            268             18        running
            269             18        running
            270             18        running
            271             18           exit
            271             89        arrived
            272             89        running
            273             89        running
            274             89        running
            275             89        running
            276             89           exit
            276              2        arrived
            277              2        running
            278              2        running
            279              2        running
            280              2        running
            281              2           exit
            281             57        arrived
            282             57        running
            283             57        running
            284             57        running
            285             57        running
            286             57           exit
            286             22        arrived
            287             22        running
            288             22        running
            289             22        running
            290             22        running
            291             22           exit
            291             90        arrived
            292             90        running
            293             90        running
            294             90        running
            295             90        running
            296             90           exit
            296             41        arrived
            297             41        running
            298             41        running
            299             41        running
            300             41        running
            301             41           exit
            301             36        arrived
            302             36        running
            303             36        running
            304             36        running
            305             36        running
            306             36           exit
            306             10        arrived
            307             10        running
            308             10        running
            309             10        running
            310             10        running
            311             10           exit
